Product_ID,Product_Name,Forecasted_Qty,Material_ID,Material_Name,Material_Required_Qty,Create_Datetime
P0034,Classic Salted Wafers Family Pack,5000,M020,Natural Flavors,500,17-06-25 19:14:47
P0035,Cheese Nachos XL,500,M007,Vegetable Oil,500,02-06-25 19:14:47
P0035,Cheese Nachos XL,500,M011,Cheddar Cheese,100,07-06-25 19:14:47
P0035,Cheese Nachos XL,500,M002,Salt,200,18-06-25 19:14:47
P0036,Cheese Nachos XL Lite,5000,M020,Natural Flavors,100,24-05-25 19:14:47
P0036,Cheese Nachos XL Lite,5000,M011,Cheddar Cheese,200,22-06-25 19:14:47
P0036,Cheese Nachos XL Lite,5000,M012,Tomato Powder,100,30-05-25 19:14:47
P0037,Chocolate Milk Drink Mini Max,2000,M037,Caramel Color,500,07-06-25 19:14:47
P0037,Chocolate Milk Drink Mini Max,2000,M042,Acetic Acid,500,17-06-25 19:14:47
P0037,Chocolate Milk Drink Mini Max,2000,M001,Sugar,500,14-06-25 19:14:47
P0038,Sweet Corn Puffs Lite,500,M006,Corn,100,12-06-25 19:14:47
P0038,Sweet Corn Puffs Lite,500,M009,Palm Oil,500,19-06-25 19:14:47
P0038,Sweet Corn Puffs Lite,500,M003,Citric Acid,500,07-06-25 19:14:47
P0039,Masala Potato Chips Lite,1000,M007,Vegetable Oil,500,31-05-25 19:14:47
P0039,Masala Potato Chips Lite,1000,M020,Natural Flavors,500,30-05-25 19:14:47
P0039,Masala Potato Chips Lite,1000,M014,Garlic Powder,200,17-06-25 19:14:47
P0040,Salted Peanuts Max,2000,M015,Maltodextrin,100,03-06-25 19:14:47
P0040,Salted Peanuts Max,2000,M002,Salt,200,29-05-25 19:14:47
P0040,Salted Peanuts Max,2000,M019,Paprika Extract,500,17-06-25 19:14:47
P0041,Chocolate Milk Drink Mini Max Family Pack,100,M020,Natural Flavors,2000,05-06-25 19:14:47
P0041,Chocolate Milk Drink Mini Max Family Pack,100,M024,Ascorbic Acid,100,17-06-25 19:14:47
P0041,Chocolate Milk Drink Mini Max Family Pack,100,M037,Caramel Color,1000,20-06-25 19:14:47
P0042,Cheese Crackers Max,5000,M001,Sugar,2000,08-06-25 19:14:47
P0042,Cheese Crackers Max,5000,M026,Cocoa Powder,200,27-05-25 19:14:47
P0042,Cheese Crackers Max,5000,M027,Milk Solids,2000,20-06-25 19:14:47
P0043,Cheese Crackers Lite,100,M001,Sugar,2000,16-06-25 19:14:47
P0043,Cheese Crackers Lite,100,M025,Soy Lecithin,100,30-05-25 19:14:47
P0043,Cheese Crackers Lite,100,M027,Milk Solids,100,17-06-25 19:14:47
P0044,Orange Soft Drink Max,500,M033,Vanillin,200,01-06-25 19:14:47
P0044,Orange Soft Drink Max,500,M042,Acetic Acid,2000,20-06-25 19:14:47
P0044,Orange Soft Drink Max,500,M037,Caramel Color,500,01-06-25 19:14:47
P0045,Chocolate Milk Drink Mini Max XL,5000,M020,Natural Flavors,2000,02-06-25 19:14:47
P0045,Chocolate Milk Drink Mini Max XL,5000,M042,Acetic Acid,500,06-06-25 19:14:47
P0045,Chocolate Milk Drink Mini Max XL,5000,M037,Caramel Color,100,20-06-25 19:14:47
P0046,Chocolate Chip Cookies Max,100,M002,Salt,1000,21-06-25 19:14:47
P0046,Chocolate Chip Cookies Max,100,M020,Natural Flavors,500,14-06-25 19:14:47
P0046,Chocolate Chip Cookies Max,100,M005,Potatoes,500,17-06-25 19:14:47
P0047,Tomato Flavored Chips Pro,5000,M011,Cheddar Cheese,1000,18-06-25 19:14:47
P0047,Tomato Flavored Chips Pro,5000,M013,Onion Powder,500,05-06-25 19:14:47
P0047,Tomato Flavored Chips Pro,5000,M005,Potatoes,200,15-06-25 19:14:47
P0048,Masala Potato Chips Mini,100,M008,Sunflower Oil,200,04-06-25 19:14:47
P0048,Masala Potato Chips Mini,100,M002,Salt,100,25-05-25 19:14:47
P0048,Masala Potato Chips Mini,100,M011,Cheddar Cheese,2000,02-06-25 19:14:47
P0049,Energy Drink - Citrus Mini,100,M024,Ascorbic Acid,500,22-06-25 19:14:47
P0049,Energy Drink - Citrus Mini,100,M003,Citric Acid,1000,26-05-25 19:14:47
P0049,Energy Drink - Citrus Mini,100,M001,Sugar,1000,11-06-25 19:14:47
P0050,Iced Tea - Peach Mini,200,M024,Ascorbic Acid,2000,13-06-25 19:14:47
P0050,Iced Tea - Peach Mini,200,M003,Citric Acid,200,16-06-25 19:14:47
P0050,Iced Tea - Peach Mini,200,M001,Sugar,200,11-06-25 19:14:47
P0051,Chocolate Milk Drink Mini Max Family Pack Pro,1000,M024,Ascorbic Acid,2000,07-06-25 19:14:47
P0051,Chocolate Milk Drink Mini Max Family Pack Pro,1000,M020,Natural Flavors,1000,01-06-25 19:14:47
P0051,Chocolate Milk Drink Mini Max Family Pack Pro,1000,M001,Sugar,1000,06-06-25 19:14:47
P0052,Whey Protein Bar Max,200,M010,Whey Protein,500,21-06-25 19:14:47
P0052,Whey Protein Bar Max,200,M016,Dextrose,200,18-06-25 19:14:47
P0052,Whey Protein Bar Max,200,M027,Milk Solids,2000,29-05-25 19:14:47
P0053,Chocolate Milk Drink Mini Max Family Pack Pro Mini,500,M042,Acetic Acid,200,16-06-25 19:14:47
P0053,Chocolate Milk Drink Mini Max Family Pack Pro Mini,500,M020,Natural Flavors,2000,08-06-25 19:14:47
P0053,Chocolate Milk Drink Mini Max Family Pack Pro Mini,500,M024,Ascorbic Acid,500,20-06-25 19:14:47
P0054,Sweet Corn Puffs XL,100,M002,Salt,500,22-06-25 19:14:47
P0054,Sweet Corn Puffs XL,100,M020,Natural Flavors,200,30-05-25 19:14:47
P0054,Sweet Corn Puffs XL,100,M006,Corn,100,27-05-25 19:14:47
P0055,Chocolate Milk Drink Mini Max Family Pack Pro XL,2000,M037,Caramel Color,500,11-06-25 19:14:47
P0055,Chocolate Milk Drink Mini Max Family Pack Pro XL,2000,M033,Vanillin,500,12-06-25 19:14:47
P0055,Chocolate Milk Drink Mini Max Family Pack Pro XL,2000,M020,Natural Flavors,500,16-06-25 19:14:47
P0056,Chocolate Milk Drink Mini Max Family Pack Pro Mini Lite,100,M020,Natural Flavors,1000,11-06-25 19:14:47
P0056,Chocolate Milk Drink Mini Max Family Pack Pro Mini Lite,100,M033,Vanillin,2000,09-06-25 19:14:47
P0056,Chocolate Milk Drink Mini Max Family Pack Pro Mini Lite,100,M024,Ascorbic Acid,2000,17-06-25 19:14:47
P0057,Cheese Crackers Family Pack,500,M026,Cocoa Powder,1000,11-06-25 19:14:47
P0057,Cheese Crackers Family Pack,500,M027,Milk Solids,100,30-05-25 19:14:47
P0057,Cheese Crackers Family Pack,500,M025,Soy Lecithin,2000,15-06-25 19:14:47
P0058,Whey Protein Bar Max Family Pack,1000,M025,Soy Lecithin,200,04-06-25 19:14:47
P0058,Whey Protein Bar Max Family Pack,1000,M027,Milk Solids,2000,26-05-25 19:14:47
P0058,Whey Protein Bar Max Family Pack,1000,M033,Vanillin,100,01-06-25 19:14:47
P0059,Coffee Can Drink Max,5000,M024,Ascorbic Acid,1000,31-05-25 19:14:47
P0059,Coffee Can Drink Max,5000,M042,Acetic Acid,200,18-06-25 19:14:47
P0059,Coffee Can Drink Max,5000,M037,Caramel Color,1000,16-06-25 19:14:47
P0060,Whey Protein Bar Family Pack,100,M010,Whey Protein,2000,16-06-25 19:14:47
P0060,Whey Protein Bar Family Pack,100,M033,Vanillin,200,29-05-25 19:14:47
P0060,Whey Protein Bar Family Pack,100,M027,Milk Solids,100,21-06-25 19:14:47
P0061,Lemon Soda Mini,5000,M003,Citric Acid,200,08-06-25 19:14:47
P0061,Lemon Soda Mini,5000,M033,Vanillin,500,26-05-25 19:14:47
P0061,Lemon Soda Mini,5000,M042,Acetic Acid,200,02-06-25 19:14:47
P0062,Butter Popcorn Family Pack,1000,M038,Baking Powder,100,05-06-25 19:14:47
P0062,Butter Popcorn Family Pack,1000,M027,Milk Solids,1000,21-06-25 19:14:47
P0062,Butter Popcorn Family Pack,1000,M001,Sugar,1000,16-06-25 19:14:47
P0063,Chocolate Milk Drink Mini Max Pro,5000,M037,Caramel Color,100,20-06-25 19:14:47
P0063,Chocolate Milk Drink Mini Max Pro,5000,M001,Sugar,2000,29-05-25 19:14:47
P0063,Chocolate Milk Drink Mini Max Pro,5000,M024,Ascorbic Acid,100,22-06-25 19:14:47
P0064,Classic Salted Wafers Family Pack Family Pack,200,M005,Potatoes,2000,24-05-25 19:14:47
P0064,Classic Salted Wafers Family Pack Family Pack,200,M014,Garlic Powder,1000,03-06-25 19:14:47
P0064,Classic Salted Wafers Family Pack Family Pack,200,M013,Onion Powder,200,30-05-25 19:14:47
P0065,Masala Potato Chips Mini Family Pack,5000,M011,Cheddar Cheese,1000,27-05-25 19:14:47
P0065,Masala Potato Chips Mini Family Pack,5000,M020,Natural Flavors,1000,11-06-25 19:14:47
P0065,Masala Potato Chips Mini Family Pack,5000,M005,Potatoes,200,28-05-25 19:14:47
P0066,Chocolate Milk Drink Mini Max Family Pack Family Pack,500,M037,Caramel Color,2000,16-06-25 19:14:47
P0066,Chocolate Milk Drink Mini Max Family Pack Family Pack,500,M003,Citric Acid,500,13-06-25 19:14:47
P0066,Chocolate Milk Drink Mini Max Family Pack Family Pack,500,M024,Ascorbic Acid,1000,22-06-25 19:14:47
P0067,Masala Potato Chips Mini Family Pack Pro,1000,M008,Sunflower Oil,500,24-05-25 19:14:47
P0067,Masala Potato Chips Mini Family Pack Pro,1000,M013,Onion Powder,2000,15-06-25 19:14:47
P0067,Masala Potato Chips Mini Family Pack Pro,1000,M002,Salt,100,20-06-25 19:14:47
P0068,Chocolate Milk Drink Mini Max Family Pack Pro XL Mini,2000,M001,Sugar,200,27-05-25 19:14:47
P0068,Chocolate Milk Drink Mini Max Family Pack Pro XL Mini,2000,M042,Acetic Acid,500,06-06-25 19:14:47
P0068,Chocolate Milk Drink Mini Max Family Pack Pro XL Mini,2000,M020,Natural Flavors,1000,29-05-25 19:14:47
P0069,Energy Drink - Citrus Mini Mini,200,M037,Caramel Color,100,14-06-25 19:14:47
P0069,Energy Drink - Citrus Mini Mini,200,M033,Vanillin,1000,28-05-25 19:14:47
P0069,Energy Drink - Citrus Mini Mini,200,M020,Natural Flavors,200,18-06-25 19:14:47
P0070,Coffee Can Drink Lite,200,M003,Citric Acid,2000,24-05-25 19:14:47
P0070,Coffee Can Drink Lite,200,M024,Ascorbic Acid,500,27-05-25 19:14:47
P0070,Coffee Can Drink Lite,200,M037,Caramel Color,100,01-06-25 19:14:47
P0071,Tomato Flavored Chips Pro XL,2000,M013,Onion Powder,200,26-05-25 19:14:47
P0071,Tomato Flavored Chips Pro XL,2000,M020,Natural Flavors,500,16-06-25 19:14:47
P0071,Tomato Flavored Chips Pro XL,2000,M014,Garlic Powder,500,16-06-25 19:14:47
P0072,Chocolate Milk Drink Mini Max Max,1000,M024,Ascorbic Acid,200,25-05-25 19:14:47
P0072,Chocolate Milk Drink Mini Max Max,1000,M003,Citric Acid,1000,09-06-25 19:14:47
P0072,Chocolate Milk Drink Mini Max Max,1000,M033,Vanillin,2000,26-05-25 19:14:47
P0073,Chocolate Milk Drink Mini Max XL XL,2000,M003,Citric Acid,200,18-06-25 19:14:47
P0073,Chocolate Milk Drink Mini Max XL XL,2000,M033,Vanillin,1000,16-06-25 19:14:47
P0073,Chocolate Milk Drink Mini Max XL XL,2000,M020,Natural Flavors,1000,19-06-25 19:14:47
P0074,Chocolate Milk Drink XL,5000,M033,Vanillin,2000,22-06-25 19:14:47
P0074,Chocolate Milk Drink XL,5000,M042,Acetic Acid,200,07-06-25 19:14:47
P0074,Chocolate Milk Drink XL,5000,M037,Caramel Color,200,24-05-25 19:14:47
P0075,Sweet Corn Puffs XL Mini,200,M015,Maltodextrin,100,15-06-25 19:14:47
P0075,Sweet Corn Puffs XL Mini,200,M003,Citric Acid,500,05-06-25 19:14:47
P0075,Sweet Corn Puffs XL Mini,200,M002,Salt,200,12-06-25 19:14:47
P0076,Orange Soft Drink Mini,1000,M033,Vanillin,100,14-06-25 19:14:47
P0076,Orange Soft Drink Mini,1000,M024,Ascorbic Acid,1000,18-06-25 19:14:47
P0076,Orange Soft Drink Mini,1000,M037,Caramel Color,500,15-06-25 19:14:47
P0077,Lemon Soda Max,2000,M003,Citric Acid,100,09-06-25 19:14:47
P0077,Lemon Soda Max,2000,M037,Caramel Color,2000,08-06-25 19:14:47
P0077,Lemon Soda Max,2000,M042,Acetic Acid,200,14-06-25 19:14:47
P0078,Mint Flavored Soda Mini,200,M037,Caramel Color,1000,05-06-25 19:14:47
P0078,Mint Flavored Soda Mini,200,M003,Citric Acid,200,25-05-25 19:14:47
P0078,Mint Flavored Soda Mini,200,M033,Vanillin,100,28-05-25 19:14:47
P0079,Sweet Corn Puffs XL Mini Max,200,M003,Citric Acid,200,09-06-25 19:14:47
P0079,Sweet Corn Puffs XL Mini Max,200,M020,Natural Flavors,500,17-06-25 19:14:47
P0079,Sweet Corn Puffs XL Mini Max,200,M006,Corn,500,22-06-25 19:14:47
P0080,Masala Potato Chips Lite Max,500,M002,Salt,500,02-06-25 19:14:47
P0080,Masala Potato Chips Lite Max,500,M020,Natural Flavors,500,31-05-25 19:14:47
P0080,Masala Potato Chips Lite Max,500,M019,Paprika Extract,2000,15-06-25 19:14:47
P0081,Chocolate Milk Drink Mini Max Family Pack Pro Mini Lite Mini,500,M003,Citric Acid,100,19-06-25 19:14:47
P0081,Chocolate Milk Drink Mini Max Family Pack Pro Mini Lite Mini,500,M020,Natural Flavors,200,05-06-25 19:14:47
P0081,Chocolate Milk Drink Mini Max Family Pack Pro Mini Lite Mini,500,M042,Acetic Acid,500,10-06-25 19:14:47
P0082,Tomato Flavored Chips Max,100,M011,Cheddar Cheese,2000,22-06-25 19:14:47
P0082,Tomato Flavored Chips Max,100,M002,Salt,200,29-05-25 19:14:47
P0082,Tomato Flavored Chips Max,100,M020,Natural Flavors,500,16-06-25 19:14:47
P0083,Sweet Corn Puffs Family Pack,2000,M002,Salt,500,06-06-25 19:14:47
P0083,Sweet Corn Puffs Family Pack,2000,M020,Natural Flavors,200,01-06-25 19:14:47
P0083,Sweet Corn Puffs Family Pack,2000,M015,Maltodextrin,100,01-06-25 19:14:47
P0084,Orange Soft Drink Mini Family Pack,200,M037,Caramel Color,1000,13-06-25 19:14:47
P0084,Orange Soft Drink Mini Family Pack,200,M042,Acetic Acid,2000,27-05-25 19:14:47
P0084,Orange Soft Drink Mini Family Pack,200,M003,Citric Acid,2000,04-06-25 19:14:47
P0085,Masala Potato Chips Mini Mini,200,M014,Garlic Powder,1000,31-05-25 19:14:47
P0085,Masala Potato Chips Mini Mini,200,M008,Sunflower Oil,100,05-06-25 19:14:47
P0085,Masala Potato Chips Mini Mini,200,M002,Salt,500,20-06-25 19:14:47
P0086,Sweet Corn Puffs XL Lite,100,M009,Palm Oil,200,12-06-25 19:14:47
P0086,Sweet Corn Puffs XL Lite,100,M015,Maltodextrin,100,06-06-25 19:14:47
P0086,Sweet Corn Puffs XL Lite,100,M020,Natural Flavors,1000,13-06-25 19:14:47
P0087,Butter Popcorn XL,5000,M002,Salt,200,01-06-25 19:14:47
P0087,Butter Popcorn XL,5000,M026,Cocoa Powder,2000,07-06-25 19:14:47
P0087,Butter Popcorn XL,5000,M033,Vanillin,100,28-05-25 19:14:47
P0088,Mint Flavored Soda XL,1000,M001,Sugar,100,04-06-25 19:14:47
P0088,Mint Flavored Soda XL,1000,M033,Vanillin,1000,03-06-25 19:14:47
P0088,Mint Flavored Soda XL,1000,M042,Acetic Acid,200,02-06-25 19:14:47
P0089,Chocolate Milk Drink Mini Max XL Lite,5000,M042,Acetic Acid,100,04-06-25 19:14:47
P0089,Chocolate Milk Drink Mini Max XL Lite,5000,M033,Vanillin,1000,19-06-25 19:14:47
P0089,Chocolate Milk Drink Mini Max XL Lite,5000,M003,Citric Acid,1000,30-05-25 19:14:47
P0090,Sweet Corn Puffs XL Mini Pro,100,M006,Corn,200,01-06-25 19:14:47
P0090,Sweet Corn Puffs XL Mini Pro,100,M015,Maltodextrin,2000,11-06-25 19:14:47
P0090,Sweet Corn Puffs XL Mini Pro,100,M002,Salt,200,15-06-25 19:14:47
P0091,Spicy Tortilla Chips Lite,200,M019,Paprika Extract,200,25-05-25 19:14:47
P0091,Spicy Tortilla Chips Lite,200,M007,Vegetable Oil,100,15-06-25 19:14:47
P0091,Spicy Tortilla Chips Lite,200,M008,Sunflower Oil,1000,29-05-25 19:14:47
P0092,Cola Beverage Mini,500,M033,Vanillin,200,13-06-25 19:14:47
P0092,Cola Beverage Mini,500,M020,Natural Flavors,100,11-06-25 19:14:47
P0092,Cola Beverage Mini,500,M042,Acetic Acid,100,15-06-25 19:14:47
P0093,Tomato Flavored Chips Pro XL Pro,1000,M008,Sunflower Oil,200,31-05-25 19:14:47
P0093,Tomato Flavored Chips Pro XL Pro,1000,M007,Vegetable Oil,1000,31-05-25 19:14:47
P0093,Tomato Flavored Chips Pro XL Pro,1000,M011,Cheddar Cheese,200,09-06-25 19:14:47
P0094,Chocolate Milk Drink Pro,100,M042,Acetic Acid,1000,29-05-25 19:14:47
P0094,Chocolate Milk Drink Pro,100,M033,Vanillin,1000,12-06-25 19:14:47
P0094,Chocolate Milk Drink Pro,100,M003,Citric Acid,100,02-06-25 19:14:47
P0095,Masala Potato Chips Mini Family Pack Pro Max,500,M013,Onion Powder,200,24-05-25 19:14:47
P0095,Masala Potato Chips Mini Family Pack Pro Max,500,M005,Potatoes,2000,05-06-25 19:14:47
P0095,Masala Potato Chips Mini Family Pack Pro Max,500,M007,Vegetable Oil,200,16-06-25 19:14:47
P0096,Butter Popcorn XL Lite,200,M002,Salt,200,08-06-25 19:14:47
P0096,Butter Popcorn XL Lite,200,M033,Vanillin,2000,03-06-25 19:14:47
P0096,Butter Popcorn XL Lite,200,M026,Cocoa Powder,100,31-05-25 19:14:47
P0097,Sweet Corn Puffs Lite Lite,5000,M020,Natural Flavors,1000,08-06-25 19:14:47
P0097,Sweet Corn Puffs Lite Lite,5000,M006,Corn,2000,15-06-25 19:14:47
P0097,Sweet Corn Puffs Lite Lite,5000,M003,Citric Acid,1000,16-06-25 19:14:47
P0098,Whey Protein Bar Max Family Pack Lite,2000,M033,Vanillin,500,31-05-25 19:14:47
P0098,Whey Protein Bar Max Family Pack Lite,2000,M027,Milk Solids,2000,30-05-25 19:14:47
P0098,Whey Protein Bar Max Family Pack Lite,2000,M028,Skimmed Milk Powder,200,20-06-25 19:14:47
P0099,Tomato Flavored Chips Pro XL Pro Mini,5000,M008,Sunflower Oil,500,31-05-25 19:14:47
P0099,Tomato Flavored Chips Pro XL Pro Mini,5000,M020,Natural Flavors,500,26-05-25 19:14:47
P0099,Tomato Flavored Chips Pro XL Pro Mini,5000,M005,Potatoes,100,28-05-25 19:14:47
P0100,Sweet Corn Puffs XL Mini Lite,2000,M020,Natural Flavors,2000,29-05-25 19:14:47
P0100,Sweet Corn Puffs XL Mini Lite,2000,M015,Maltodextrin,200,06-06-25 19:14:47
P0100,Sweet Corn Puffs XL Mini Lite,2000,M003,Citric Acid,2000,30-05-25 19:14:47
