Supplier_ID,Supplier_Name,Material_ID,Material_Name,OnTime_Delivery_Percentage,Quality_Score,Average_Price_Deviation,Fulfilled_Order_Count,Complaint_Count,Lead_Days,Discount_Offer_Percentage,Create_Datetime
S013,Supplier_S013,M446,Cocoa Powder,81.32,3.4,-5.01,940,7,3,2.74,23-06-25 19:47:57
S014,Supplier_S014,M044,Glucono Delta Lactone,73.93,3.6,7.62,506,3,0,29.19,23-06-25 19:47:57
S014,Supplier_S014,M060,Garlic Powder,85.4,3.2,0.08,978,19,0,21.82,23-06-25 19:47:57
S014,Supplier_S014,M115,Acesulfame K,81.32,4.2,-9.21,84,6,9,21.73,23-06-25 19:47:57
S014,Supplier_S014,M279,Sugar,93.36,4.9,3.92,148,12,6,9.7,23-06-25 19:47:57
S014,Supplier_S014,M304,Cheddar Cheese,82.63,4.9,5.96,306,5,0,20.85,23-06-25 19:47:57
S014,Supplier_S014,M305,Tomato Powder,85.17,4.7,-4.44,145,19,4,8.26,23-06-25 19:47:57
S014,Supplier_S014,M322,Citric Acid,80.93,3.4,-4.97,641,14,0,3.13,23-06-25 19:47:57
S014,Supplier_S014,M409,Corn Syrup,77.19,4.2,-5.27,530,16,6,28.48,23-06-25 19:47:57
S015,Supplier_S015,M086,Caramel Color,88.23,4.6,-9.3,78,7,10,10.99,23-06-25 19:47:57
S015,Supplier_S015,M179,Sucralose,70.99,3.1,-2.79,213,8,5,24.71,23-06-25 19:47:57
S015,Supplier_S015,M183,Corn,82.12,3.6,-7.2,36,20,7,29.92,23-06-25 19:47:57
S015,Supplier_S015,M288,Glucono Delta Lactone,79.95,4.8,5.92,77,4,4,25.22,23-06-25 19:47:57
S015,Supplier_S015,M343,Sodium Benzoate,82.59,4.8,-2.88,306,9,8,19.17,23-06-25 19:47:57
S016,Supplier_S016,M039,Sodium Benzoate,87.81,3.6,-5.37,733,9,7,2.14,23-06-25 19:47:57
S016,Supplier_S016,M058,Dextrose,75.69,3.2,6.96,475,2,10,6.36,23-06-25 19:47:57
S016,Supplier_S016,M108,Dextrose,97.09,3.4,0.73,178,10,8,13.26,23-06-25 19:47:57
S016,Supplier_S016,M421,Tomato Powder,71.67,3.1,7,421,3,9,22.56,23-06-25 19:47:57
S016,Supplier_S016,M424,Skimmed Milk Powder,79.35,3.9,9.19,782,11,4,17.51,23-06-25 19:47:57
S017,Supplier_S017,M038,Baking Powder,72.56,3.5,1.16,436,19,9,23.72,23-06-25 19:47:57
S017,Supplier_S017,M083,Modified Starch,93.29,3.9,-4.13,54,6,0,9.47,23-06-25 19:47:57
S017,Supplier_S017,M319,Brown Sugar,74.24,3.8,3.93,576,5,7,7.31,23-06-25 19:47:57
S017,Supplier_S017,M334,Onion Powder,96.15,3.5,8.95,670,10,6,17.36,23-06-25 19:47:57
S017,Supplier_S017,M476,Milk Solids,86.09,4.6,-0.23,541,18,8,21.41,23-06-25 19:47:57
S018,Supplier_S018,M010,Whey Protein,86.18,4.4,7.65,600,15,3,23.54,23-06-25 19:47:57
S018,Supplier_S018,M014,Garlic Powder,71.19,3.2,3.15,588,16,5,28.04,23-06-25 19:47:57
S018,Supplier_S018,M016,Dextrose,73.11,4.8,-4.71,921,3,8,4.66,23-06-25 19:47:57
S018,Supplier_S018,M030,Disodium Guanylate,77.69,3.7,2.12,996,3,2,28.94,23-06-25 19:47:57
S018,Supplier_S018,M046,Pectin,93.18,4.7,-3.2,816,16,4,24.62,23-06-25 19:47:57
S018,Supplier_S018,M049,Sucralose,92.81,4.4,-7.99,180,9,0,1.38,23-06-25 19:47:57
S018,Supplier_S018,M134,Brown Sugar,74.93,5,-5.12,188,17,2,9.93,23-06-25 19:47:57
S018,Supplier_S018,M209,Annatto Extract,76.4,3.7,-2.78,233,19,8,14.25,23-06-25 19:47:57
S018,Supplier_S018,M444,Garlic Powder,92.24,3.3,3.43,21,8,2,13.22,23-06-25 19:47:57
S019,Supplier_S019,M093,Potassium Sorbate,81.12,4.1,-3.62,487,3,4,13.49,23-06-25 19:47:57
S019,Supplier_S019,M212,Potassium Sorbate,93.83,4.1,1.5,243,8,6,11.64,23-06-25 19:47:57
S019,Supplier_S019,M259,Disodium Inosinate,85.95,3.4,0.52,264,18,10,28.43,23-06-25 19:47:57
S019,Supplier_S019,M455,Onion Powder,91.45,3.4,8.32,14,0,8,21.91,23-06-25 19:47:57
S020,Supplier_S020,M018,Yeast Extract,97.12,4.1,6.69,606,17,2,12.89,23-06-25 19:47:57
S020,Supplier_S020,M086,Caramel Color,81.49,4.1,2.1,705,14,5,11.16,23-06-25 19:47:57
S020,Supplier_S020,M171,Lactic Acid,76.17,3.4,3.94,749,17,4,19.82,23-06-25 19:47:57
S021,Supplier_S021,M092,Brown Sugar,89.17,4,2.54,306,20,4,14.49,23-06-25 19:47:57
S021,Supplier_S021,M250,Potassium Sorbate,75.45,4.8,-5,400,0,1,29.24,23-06-25 19:47:57
S021,Supplier_S021,M315,Sucrose,93,4.3,-6.47,50,12,10,5.73,23-06-25 19:47:57
S022,Supplier_S022,M085,Whey Protein,83.32,3.9,4.54,943,11,9,29.94,23-06-25 19:47:57
S022,Supplier_S022,M371,Whey Protein,91.04,3.3,-1.98,449,19,4,4.48,23-06-25 19:47:57
S022,Supplier_S022,M385,Palm Oil,80.24,4.8,6.2,226,5,1,22.41,23-06-25 19:47:57
S022,Supplier_S022,M398,Corn Syrup,78.52,3.2,1.04,543,10,10,4.8,23-06-25 19:47:57
S022,Supplier_S022,M461,Natural Flavors,78.3,3.7,1.71,499,15,10,22.82,23-06-25 19:47:57
S022,Supplier_S022,M478,Sucrose,83.35,4.2,3.9,545,11,9,16.15,23-06-25 19:47:57
S023,Supplier_S023,M069,Disodium Inosinate,85.92,3.4,5.52,369,20,2,7.09,23-06-25 19:47:57
S023,Supplier_S023,M311,Corn Syrup,73.9,4.3,8,589,5,1,20.87,23-06-25 19:47:57
S023,Supplier_S023,M326,Potassium Sorbate,95.71,4,9.91,615,15,7,8.38,23-06-25 19:47:57
S023,Supplier_S023,M339,Sodium Bicarbonate,70.37,3.7,-3.84,466,17,1,6.47,23-06-25 19:47:57
S024,Supplier_S024,M024,Ascorbic Acid,90.18,3.4,-6.02,35,1,3,29.52,23-06-25 19:47:57
S024,Supplier_S024,M063,Skimmed Milk Powder,72.9,4.5,6.24,579,1,9,28.7,23-06-25 19:47:57
S024,Supplier_S024,M095,Annatto Extract,87.93,4.7,3.45,302,17,0,25.42,23-06-25 19:47:57
S024,Supplier_S024,M126,Skimmed Milk Powder,72.79,4.2,-3.51,404,0,4,12.41,23-06-25 19:47:57
S024,Supplier_S024,M160,Paprika Extract,75.22,4.9,7.09,579,17,3,2.84,23-06-25 19:47:57
S024,Supplier_S024,M173,Onion Powder,81.63,3.7,-2.37,201,14,0,7.9,23-06-25 19:47:57
S024,Supplier_S024,M295,Caramel Color,81.76,4.4,3.3,817,10,7,14.63,23-06-25 19:47:57
S024,Supplier_S024,M408,Paprika Extract,91.4,3.6,-8.03,155,13,5,7.74,23-06-25 19:47:57
S025,Supplier_S025,M011,Cheddar Cheese,89.39,3.1,4.56,829,3,3,5.75,23-06-25 19:47:57
S025,Supplier_S025,M094,Natural Flavors,78.71,3.8,2.31,264,5,5,28.01,23-06-25 19:47:57
S025,Supplier_S025,M172,Cocoa Powder,78.84,4.3,2,214,3,0,6.21,23-06-25 19:47:57
S025,Supplier_S025,M298,Cheddar Cheese,74.17,4.2,5.1,839,0,2,19.83,23-06-25 19:47:57
S025,Supplier_S025,M318,Soy Lecithin,75.12,4.2,6.36,118,3,7,17.85,23-06-25 19:47:57
S025,Supplier_S025,M482,Acetic Acid,85.95,4.2,6.99,498,18,2,7.77,23-06-25 19:47:57
S026,Supplier_S026,M048,Aspartame,97.31,3,-7.12,901,20,2,2.24,23-06-25 19:47:57
S026,Supplier_S026,M062,Baking Powder,95.58,4.3,5.38,748,6,6,13.55,23-06-25 19:47:57
S026,Supplier_S026,M167,Monosodium Glutamate,89.48,3.3,9.37,720,19,5,6.7,23-06-25 19:47:57
S026,Supplier_S026,M217,Baking Powder,87.42,4.9,-2.86,697,20,3,3,23-06-25 19:47:57
S026,Supplier_S026,M369,Disodium Inosinate,88.9,4.6,-7.28,420,6,10,9.17,23-06-25 19:47:57
S026,Supplier_S026,M479,Barley Malt Extract,88.06,3.4,-2.82,141,19,6,2.23,23-06-25 19:47:57
S027,Supplier_S027,M019,Paprika Extract,99.29,4.6,7.63,35,5,5,23.47,23-06-25 19:47:57
S027,Supplier_S027,M064,Sodium Citrate,81.03,4.5,1.48,836,13,8,29.24,23-06-25 19:47:57
S027,Supplier_S027,M133,Caramel Color,83.66,3.4,-0.34,497,3,7,21.66,23-06-25 19:47:57
S027,Supplier_S027,M182,Garlic Powder,78.48,4.4,-0.37,354,8,10,9.75,23-06-25 19:47:57
S027,Supplier_S027,M245,Soy Lecithin,88.54,3.2,8.63,409,9,3,7.42,23-06-25 19:47:57
S027,Supplier_S027,M310,Aspartame,72.76,4.9,3.13,865,6,9,19.14,23-06-25 19:47:57
S027,Supplier_S027,M313,Sunflower Oil,79.89,3.8,-9.93,734,15,7,13.08,23-06-25 19:47:57
S027,Supplier_S027,M449,Sucrose,93.74,4.8,1.38,267,3,9,9.73,23-06-25 19:47:57
S028,Supplier_S028,M126,Skimmed Milk Powder,82.93,4.1,0.25,115,0,1,10.62,23-06-25 19:47:57
S028,Supplier_S028,M260,Vanillin,75.41,3.8,-3.25,171,17,9,13.29,23-06-25 19:47:57
S028,Supplier_S028,M366,Tapioca Starch,81.24,4.9,-3.67,443,15,10,7.39,23-06-25 19:47:57
S028,Supplier_S028,M438,Yeast Extract,97.34,3.8,-5.88,308,16,1,13.64,23-06-25 19:47:57
S029,Supplier_S029,M007,Vegetable Oil,74.74,3,4.44,746,8,8,22.86,23-06-25 19:47:57
S029,Supplier_S029,M008,Sunflower Oil,72.57,4,-8.62,788,17,2,3.85,23-06-25 19:47:57
S029,Supplier_S029,M195,Sodium Citrate,90.89,3.1,8.85,173,3,6,27.34,23-06-25 19:47:57
S029,Supplier_S029,M296,Aspartame,85.24,3.8,4.29,119,10,8,19.48,23-06-25 19:47:57
S029,Supplier_S029,M306,Acetic Acid,72.53,3.3,8.68,167,15,6,23.11,23-06-25 19:47:57
S029,Supplier_S029,M338,Tomato Powder,87.5,3.4,8.71,294,6,0,2.51,23-06-25 19:47:57
S029,Supplier_S029,M357,Yeast Extract,74.69,3.1,-4.73,615,12,9,20.29,23-06-25 19:47:57
S029,Supplier_S029,M370,Natural Flavors,77.49,4.4,5.35,674,4,9,20.57,23-06-25 19:47:57
S029,Supplier_S029,M494,Glucono Delta Lactone,75.45,3,3.21,339,6,4,14.16,23-06-25 19:47:57
S030,Supplier_S030,M038,Baking Powder,84.75,4.2,3.73,165,4,9,28.47,23-06-25 19:47:57
S030,Supplier_S030,M045,Gum Arabic,98.41,4.3,-6.92,965,9,8,21.16,23-06-25 19:47:57
S030,Supplier_S030,M062,Baking Powder,89.95,3.7,-6.95,955,15,1,2.74,23-06-25 19:47:57
S030,Supplier_S030,M152,Palm Oil,74.12,3,-0.07,365,16,8,23.49,23-06-25 19:47:57
S030,Supplier_S030,M194,Tomato Powder,75.49,3.8,9.25,288,12,7,24,23-06-25 19:47:57
S030,Supplier_S030,M200,Ascorbic Acid,88.33,3.4,8.6,412,6,7,24.74,23-06-25 19:47:57
S030,Supplier_S030,M210,Maltodextrin,80.38,3.5,2.85,950,19,3,28.77,23-06-25 19:47:57
S030,Supplier_S030,M293,Paprika Extract,86.79,3.2,0.85,572,10,4,4.25,23-06-25 19:47:57
S030,Supplier_S030,M331,Maltodextrin,96.94,4,-1.54,65,2,5,10.36,23-06-25 19:47:57
S031,Supplier_S031,M111,Annatto Extract,81.79,3.3,9.57,864,0,0,29.35,23-06-25 19:47:57
S031,Supplier_S031,M116,Corn Syrup,77.18,3.6,-4.34,487,17,10,10.78,23-06-25 19:47:57
S031,Supplier_S031,M239,Salt,83.8,4.4,-9.76,225,12,9,3.02,23-06-25 19:47:57
S031,Supplier_S031,M319,Brown Sugar,87.46,3.3,5.82,657,19,6,23.33,23-06-25 19:47:57
S031,Supplier_S031,M372,Yeast Extract,81.46,3.9,-5.87,230,9,10,5.68,23-06-25 19:47:57
S031,Supplier_S031,M407,Yeast Extract,71.35,4.7,-9.53,457,5,6,0.72,23-06-25 19:47:57
S031,Supplier_S031,M490,Aspartame,86.5,4.6,4.29,342,12,8,21.78,23-06-25 19:47:57
S032,Supplier_S032,M041,Sodium Citrate,87.94,4.8,4.69,628,8,0,2.74,23-06-25 19:47:57
S032,Supplier_S032,M089,Gum Arabic,93.76,3.5,-0.12,379,17,9,11.07,23-06-25 19:47:57
S032,Supplier_S032,M332,Salt,83.74,3.2,7.96,305,2,1,4.94,23-06-25 19:47:57
S032,Supplier_S032,M461,Natural Flavors,85.67,3,2.06,995,8,7,14.2,23-06-25 19:47:57
S033,Supplier_S033,M153,Acetic Acid,85.32,3.1,7.19,180,11,2,7.65,23-06-25 19:47:57
S033,Supplier_S033,M421,Tomato Powder,97.57,3.9,-3.97,651,13,1,3.05,23-06-25 19:47:57
S033,Supplier_S033,M424,Skimmed Milk Powder,86.23,3.3,-0.61,627,10,4,11.06,23-06-25 19:47:57
S033,Supplier_S033,M483,Corn Syrup,77.47,4.2,4.14,197,14,5,23.95,23-06-25 19:47:57
S033,Supplier_S033,M497,Annatto Extract,83.45,4.4,8.22,79,15,6,15.71,23-06-25 19:47:57
S034,Supplier_S034,M016,Dextrose,96.38,3.7,-6.85,863,17,4,18.35,23-06-25 19:47:57
S034,Supplier_S034,M109,Tapioca Starch,83.7,3.1,-0.75,836,9,0,11.88,23-06-25 19:47:57
S034,Supplier_S034,M145,Sodium Citrate,91.78,4.5,-1.42,103,3,0,6.4,23-06-25 19:47:57
S034,Supplier_S034,M146,Salt,76.79,4.4,-9.81,722,10,1,29.64,23-06-25 19:47:57
S034,Supplier_S034,M166,Citric Acid,91.51,4.8,6.89,341,1,0,4.43,23-06-25 19:47:57
S034,Supplier_S034,M195,Sodium Citrate,84.48,4.1,-1.24,635,12,5,18.34,23-06-25 19:47:57
S034,Supplier_S034,M295,Caramel Color,92.99,3.9,8.95,157,19,4,27.39,23-06-25 19:47:57
S034,Supplier_S034,M335,Cocoa Powder,83.68,3.3,8.48,738,17,4,5.47,23-06-25 19:47:57
S035,Supplier_S035,M110,Acetic Acid,97.51,3.8,-8.4,997,17,2,19.61,23-06-25 19:47:57
S035,Supplier_S035,M129,Potatoes,78.41,4.6,-2.7,964,18,3,17.77,23-06-25 19:47:57
S035,Supplier_S035,M189,Corn,81,4.3,-9.25,907,20,4,23.14,23-06-25 19:47:57
S035,Supplier_S035,M228,Pectin,82.26,3.4,4.18,818,0,9,15.68,23-06-25 19:47:57
S035,Supplier_S035,M302,Dextrose,88.14,4.2,6.94,252,16,4,12.33,23-06-25 19:47:57
S035,Supplier_S035,M364,Vegetable Oil,93.69,3.6,1.01,669,1,7,23.47,23-06-25 19:47:57
S035,Supplier_S035,M451,Milk Solids,97.2,4.3,-5.03,713,7,9,26.18,23-06-25 19:47:57
S035,Supplier_S035,M455,Onion Powder,89.23,4.2,-1.82,49,3,6,27.96,23-06-25 19:47:57
S036,Supplier_S036,M006,Corn,86.6,4.9,3.61,127,17,4,23.06,23-06-25 19:47:57
S036,Supplier_S036,M087,Sugar,84.97,3.8,1.23,278,8,7,6.44,23-06-25 19:47:57
S036,Supplier_S036,M147,Vegetable Oil,70.25,4.3,-1.2,749,6,10,22.45,23-06-25 19:47:57
S036,Supplier_S036,M186,Sodium Benzoate,80.28,5,7.86,478,4,5,25.87,23-06-25 19:47:57
S036,Supplier_S036,M301,Yeast Extract,96.18,3.3,-9.77,673,0,2,21.64,23-06-25 19:47:57
S036,Supplier_S036,M329,Sugar,72.12,4.8,-3.34,43,9,6,22.59,23-06-25 19:47:57
S036,Supplier_S036,M345,Sunflower Oil,91.38,4.4,6.05,437,14,1,3.5,23-06-25 19:47:57
S037,Supplier_S037,M113,Citric Acid,80.33,4.3,-2.38,547,10,6,12.25,23-06-25 19:47:57
S037,Supplier_S037,M345,Sunflower Oil,85.55,3.7,-0.3,358,5,1,6.54,23-06-25 19:47:57
S037,Supplier_S037,M366,Tapioca Starch,75.25,4.9,-1.21,270,18,0,14.71,23-06-25 19:47:57
S038,Supplier_S038,M099,Ascorbic Acid,70.95,4.9,-7.8,29,14,5,12.56,23-06-25 19:47:57
S038,Supplier_S038,M160,Paprika Extract,77.45,3.7,0.27,703,9,4,24.6,23-06-25 19:47:57
S038,Supplier_S038,M333,Citric Acid,90.47,4.9,-0.52,440,14,10,0.64,23-06-25 19:47:57
S038,Supplier_S038,M367,Potatoes,91.47,4.6,-9.58,1000,19,0,25.24,23-06-25 19:47:57
S038,Supplier_S038,M373,Disodium Inosinate,89.42,3.2,-0.62,902,10,6,20.61,23-06-25 19:47:57
S038,Supplier_S038,M388,Soy Lecithin,70.65,3.3,-6.95,729,14,7,14.14,23-06-25 19:47:57
S038,Supplier_S038,M473,Caramel Color,84.22,4.9,-7.65,537,20,5,17.8,23-06-25 19:47:57
S038,Supplier_S038,M493,Garlic Powder,70.53,3.4,7.29,399,13,8,9.19,23-06-25 19:47:57
S039,Supplier_S039,M071,Sucralose,95.93,4.7,2.3,529,12,7,17.41,23-06-25 19:47:57
S040,Supplier_S040,M066,Vanillin,92.63,3.1,-8.37,463,13,7,18.21,23-06-25 19:47:57
S040,Supplier_S040,M208,Palm Oil,93.7,4.1,-8.54,734,10,8,6.6,23-06-25 19:47:57
S040,Supplier_S040,M247,Palm Oil,70.25,4.8,8.94,498,9,0,22.98,23-06-25 19:47:57
S040,Supplier_S040,M254,Soy Lecithin,94.17,3.9,-6.14,715,12,5,21.73,23-06-25 19:47:57
S040,Supplier_S040,M379,Sucrose,87.83,3,9.4,681,19,7,9.75,23-06-25 19:47:57
S041,Supplier_S041,M026,Cocoa Powder,79.59,4.1,-7.23,246,12,2,21.19,23-06-25 19:47:57
S041,Supplier_S041,M066,Vanillin,82.43,3.4,0.25,363,13,1,8.5,23-06-25 19:47:57
S041,Supplier_S041,M214,Disodium Guanylate,74.32,4.4,8.28,824,20,5,28.72,23-06-25 19:47:57
S041,Supplier_S041,M370,Natural Flavors,93.78,3.6,-0.43,762,4,4,5.2,23-06-25 19:47:57
S042,Supplier_S042,M004,Corn Syrup,81.38,5,2.8,580,7,10,9.73,23-06-25 19:47:57
S042,Supplier_S042,M076,Milk Solids,94.94,4.5,6.18,179,14,0,12.33,23-06-25 19:47:57
S042,Supplier_S042,M091,Tomato Powder,89.05,4.1,-7.5,320,19,8,2.8,23-06-25 19:47:57
